n=202	d=7
0.0             2.80469420e-01  0.0             0.0             2.18082000e+04  0.0             4.79486e+10
5.14224100e-07	2.80469420e-01	4.26411150e+00	0.00000000e+00	2.18082000e+04	5.04221630e-03	2.39743040e+10
1.64578795e-06	2.80530570e-01	1.42275480e+01	0.00000000e+00	2.18082000e+04	2.56927520e-01	2.05844360e+09
3.02133720e-06	2.80711260e-01	2.64689080e+01	0.00000000e+00	2.18082000e+04	1.98552700e+00	5.95175940e+08
4.71077055e-06	2.81076220e-01	4.15110100e+01	0.00000000e+00	2.18082000e+04	8.74422500e+00	2.42192340e+08
6.78571270e-06	2.81782500e-01	5.99817300e+01	0.00000000e+00	2.18082000e+04	2.92371390e+01	1.17563630e+08
9.33413300e-06	2.83021660e-01	8.25227660e+01	0.00000000e+00	2.18082000e+04	8.22177600e+01	6.47626400e+07
1.24640725e-05	2.85058440e-01	1.09349970e+02	0.00000000e+00	2.18082000e+04	1.98899030e+02	3.96362280e+07
1.63082265e-05	2.88153170e-01	1.39272430e+02	0.00000000e+00	2.18082000e+04	4.02316800e+02	2.64686860e+07
2.10295720e-05	2.92238830e-01	1.69474440e+02	0.00000000e+00	2.18082000e+04	6.62268500e+02	1.85758740e+07
2.68282730e-05	2.97018100e-01	1.97511050e+02	0.00000000e+00	2.18082000e+04	9.09846000e+02	1.32896020e+07
3.39501715e-05	3.02186580e-01	2.22536420e+02	0.00000000e+00	2.18082000e+04	1.10291640e+03	9.60591700e+06
4.26972055e-05	3.07543300e-01	2.44727510e+02	0.00000000e+00	2.18082000e+04	1.23737040e+03	7.02032800e+06
5.34402040e-05	3.13016900e-01	2.64606350e+02	0.00000000e+00	2.18082000e+04	1.32510840e+03	5.19444200e+06
6.66346205e-05	3.18596070e-01	2.82652950e+02	0.00000000e+00	2.18082000e+04	1.37915810e+03	3.89177930e+06
8.28398580e-05	3.24280600e-01	2.99246250e+02	0.00000000e+00	2.18082000e+04	1.40971360e+03	2.94980900e+06
1.02742955e-04	3.30097050e-01	3.14707520e+02	0.00000000e+00	2.18082000e+04	1.42413210e+03	2.25889230e+06
